UCR DESCRIPTION,DATE,TIME,ADDRESS,LATITUDE,LAT_JITTERED,LONGITUDE,ST NUM,PRIMARY ST,SECONDARY ST,REPORT,VIOLATION,PED AGE,DRIV  AGE,INJ
PEDESTRIAN,2012-09-28,15:43,"851 FRUITHURST, MT. LEBANON, PA",40.37795,40.37795,-80.0310499,851,FRUITHURST,,20121521,Unit 1 (pedestrian) not cited (3543) ran into street chasing ball and was struck by Unit 2 (vehicle) not cited,6,16,1
BICYCLE,2008-06-19,07:01,"880 OLD HICKORY, MT. LEBANON, PA",40.385813,40.386013,-80.061931,880,OLD HICKORY,,20081002,Unit 1 (Veh.) charged w/ vc3714a (Careless Driving)-citation issued - sun in eyes,39,63,1
PEDESTRIAN,2014-10-23,17:06,"900 MCNEILLY, MT. LEBANON, PA",40.3833656,40.3831656,-80.0214374,900,MCNEILLY,,20141952,Veh (unit 1) arrested for 3742a; struck pedestrian walking on side of roadway; Ped (unit 2) not cited,42,55,1
BICYCLE,2012-07-04,12:10,"900 VALLEYVIEW, MT. LEBANON, PA",40.387491,40.387491,-80.067517,900,VALLEYVIEW,,20121071,Lost control of bicycle while applying brakes,69,,1
PEDESTRIAN,2010-03-09,11:50,"938 SEGAR, MT. LEBANON, PA",40.378919,40.379119,-80.064903,938,SEGAR,,20100360,Pedestrian (officer) in road directing traffic walked into vehicle,47,57,1
PEDESTRIAN,2012-07-10,11:22,"ACADEMY & WASHINGTON, MT. LEBANON, PA",40.3823459,40.3821459,-80.0440683,,ACADEMY,WASHINGTON,20121086,Unit 1 (vehicle) cited for 3113a1 - Pedestrian Control Signals - Pedestrian in crosswalk and had signal,56,78,1
PEDESTRIAN,2006-04-17,11:14,"ALFRED & WASHINGTON, MT. LEBANON, PA",40.3806821,40.3806821,-80.0444572,,ALFRED,WASHINGTON,20060552,Unit 1(Vehicle)-Hit & Run - pedestrians in crosswalk,82 & 63,,2
PEDESTRIAN,2007-03-26,06:30,"ALTOONA & COCHRAN, MT. LEBANON, PA",40.3828745,40.3830745,-80.0524309,,ALTOONA,COCHRAN,20070528,Unit 1(Vehicle)-vc3112a (Right turn on red w/o clearing intersection)-citation issued-pedestrian in crosswalk,59,38,1
BICYCLE,2008-06-17,14:10,"AUSTIN & TERRACEVIEW, MT. LEBANON, PA",40.3783772,40.3781772,-80.063074,,AUSTIN,TERRACEVIEW,20080983,Unit 1 (bicycle) cited vc 3323B Stop Signs - ran into front of vehicle - Unit 2 not cited,13,60,1
BICYCLE,2009-07-24,12:59,"BEVERLY & MARLIN W, MT. LEBANON, PA",40.3878067,40.3878067,-80.0521712,,BEVERLY,MARLIN W,20091151,Unit 1 (bicyclist) cited for 3542b - struck side of veh in crosswalk - witnesses stated bicyclist failed to look or slow down at crosswalk,13,35,1
PEDESTRIAN,2011-12-05,20:06,"BEVERLY & N MEADOWCR, MT. LEBANON, PA",40.3899405,40.3901405,-80.0478726,,BEVERLY,N MEADOWCR,20111853,Unit 1 (pedestrian) standing behind phone pole & stepped off island into street and was struck - pedestrian violation Pedestrian Crossing at other than Crosswalk - no citations issued,78,23,1
PEDESTRIAN,2006-01-06,06:38,"BOWER HILL & CARNEGIE, MT. LEBANON, PA",40.383373,40.383173,-80.0563974,,BOWER HILL,CARNEGIE,20060018,Unit 1(Vehicle)-vc3542 (Right of way of pedestrians)-citation issued - Private salt truck backed into pedestrian in crosswalk,36,35,1
DEATH,2006-01-06,06:39,"BOWER HILL & CARNEGIE, MT. LEBANON, PA",40.383373,40.383373,-80.0563974,,BOWER HILL,CARNEGIE,20060019,Unit 1(Vehicle)-Unsafe Speed-struck pedestrian in roadway from prior pedestrian accident,36,44,2
PEDESTRIAN,2011-12-13,17:55,"BOWER HILL & COOLIDGE, MT. LEBANON, PA",40.3862657,40.3864657,-80.0481891,,BOWER HILL,COOLIDGE,20111891,Unit 1 (vehicle) cited for 3542a Failure to Yield to Ped in Crosswalk (unmarked) - pedestrian in dark clothes,50,44,1
PEDESTRIAN,2014-08-14,08:31,"BOWER HILL & FIRWOD, MT. LEBANON, PA",40.3763451,40.3761451,-80.0676344,,BOWER HILL,FIRWOD,20141511,Vehicle (unit 1) cited for 3542A Right of Way of Pedestrian in Crosswalk; Pedestrian (unit 2) not cited,43,65,1
BICYCLE,2011-04-20,22:46,"BOWER HILL & GREENHURST, MT. LEBANON, PA",40.3781795,40.3781795,-80.0648015,,BOWER HILL,GREENHURST,20110526,Unit 1 (bicycle) cited for 3112a3i for running a Red Light - ran into side of vehicle,51,49,1
PEDESTRIAN,2009-07-12,18:17,"BOWER HILL & KENMONT, MT. LEBANON, PA",40.3867677,40.3869677,-80.0451929,,BOWER HILL,KENMONT,20091092,Unit 1(Veh)vc3323-Stop sign-citation issued-Unit 1 went through stop sign and struck vehicle and struck 2 pedestrians on sidewalk-Kenmont sign - drove into pedestrian,10 & 25,91,3
BICYCLE,2008-12-10,17:55,"BOWER HILL & KENMONT, MT. LEBANON, PA",40.3867677,40.3865677,-80.0451929,,BOWER HILL,KENMONT,20082004,Unit 1 (Vehicle) charged w/ vc3323b (Failure to yield to oncoming bicyclist)-citation issued,37,50,1
BICYCLE,2006-10-27,07:50,"BOWER HILL & RUTH, MT. LEBANON, PA",40.3805731,40.3805731,-80.0614493,,BOWER HILL,RUTH,20061689,Unit 1 (Bicycle) not cited for 3323 Stop Sign - Unit 2 (vehicle) not cited - no info on driver - left scene after confirming rider was ok,13,,1
BICYCLE,2007-07-29,11:30,"BOWER HILL & SALEM, MT. LEBANON, PA",40.3815806,40.3817806,-80.0589362,,BOWER HILL,SALEM,20071234,Unit 1 (Vehicle) - cited 3714 Careless Driving - Unit 2 (bicycle) not cited - mirror of veh struck bicycle in roadway causing rider to flip over handlebars,63,84,1
PEDESTRIAN,2012-10-30,07:43,"BOWER HILL & SYLVANDELL, MT. LEBANON, PA",40.3744784,40.3742784,-80.0732823,,BOWER HILL,SYLVANDELL,20121717,Unit 1 (pedestrian) not cited 3113a2 - Pedestrian obeying crosswalk signals (Mt Leb does not have Ord to support statute) - Unit 2 (veh) cited for headlights,64,41,1
PEDESTRIAN,2009-05-05,09:10,"BRAFFERTON & SLEEPY HOLLOW, MT. LEBANON, PA",40.3813271,40.3813271,-80.0319762,,BRAFFERTON,SLEEPY HOLLOW,20090675,Unit 1(Veh) cited for Failure to yield to pedestrian and signals - Unit 1 turned into pedestrians - victim in stroller,2 & 30,48,1
PEDESTRIAN,2010-11-22,10:45,"CASTLE SHANNON & ANAWANDA, MT. LEBANON, PA",40.3730622,40.3732622,-80.0342676,,CASTLE SHANNON,ANAWANDA,20101913,Pedestrian struck in crosswalk - driver cited for 3542 Yielding to Pedestrians in Crosswalk,78,55,1
PEDESTRIAN,2013-12-25,18:16,"CASTLE SHANNON & CRYSTAL, MT. LEBANON, PA",40.3712584,40.3710584,-80.0328595,,CASTLE SHANNON,CRYSTAL,20132049,Unit 1 (vehicle) not cited for 3542b struck Unit 2 (pedestrian) not cited - struck in middle of roadway,76,20,1
PEDESTRIAN,2012-10-03,07:04,"CASTLE SHANNON & CRYSTAL, MT. LEBANON, PA",40.3712584,40.3712584,-80.0328595,,CASTLE SHANNON,CRYSTAL,20121549,Unit 1 (vehicle) cited for Failure to Yield to Pedestrian - Unit 2 (Ped) crossing street unmarked crosswalk not cited,49,23,1
PEDESTRIAN,2006-11-02,17:35,"CASTLE SHANNON & PENNSYLVANIA, MT. LEBANON, PA",40.3775868,40.3777868,-80.0413538,,CASTLE SHANNON,PENNSYLVANIA,20061722,Unit 1(Vehicle)-vc3731 (DUI)-arrest-struck parked vehicle pinning pedestrian,7,26,1
PEDESTRIAN,2006-02-14,18:52,"CEDAR & BEADLING, MT. LEBANON, PA",40.3664884,40.3662884,-80.0612358,,CEDAR,BEADLING,20060233,Unit 1(Vehicle)-vc3323b (Stop signs)-citation issued-failure to yield right of way of pedestrian,47,53,1
PEDESTRIAN,2009-03-13,19:32,"CEDAR & FLORIDA, MT. LEBANON, PA",40.3815787,40.3815787,-80.0451837,,CEDAR,FLORIDA,20090400,Unit 1 (vehicle) looking opposite direction of travel 3323b - Unit 2 (pedestrian) not looking up as she crossed 3542b - no citations issued,85,52,1
PEDESTRIAN,2009-06-10,07:45,"CEDAR & SALEM, MT. LEBANON, PA",40.3779046,40.3781046,-80.0551812,,CEDAR,SALEM,20090897,Unit 1 (vehicle) looking at another vehicle and struck school guard in crosswalk - unit 1 cited for 3102 Obedience to Authority Directing Traffic & 3542a Right of Way of Ped in Crosswalk,56,43,2
PEDESTRIAN,2012-08-28,11:03,"CEDAR & WASHINGTON, MT. LEBANON, PA",40.3815051,40.3813051,-80.0442483,,CEDAR,WASHINGTON,20121348,Unit 1 (vehicle) not cited for Traffic Control Signals - Unit 2 (Pedestrian) not cited for Pedestrian Control Signals -- Pedestrian struck in crosswalk,83,84,1
PEDESTRIAN,2007-03-18,02:22,"CEDAR & WASHINGTON, MT. LEBANON, PA",40.3815051,40.3815051,-80.0442483,,CEDAR,WASHINGTON,20070474,Unit 1(Vehicle)-vc4524a (Windshield Obstruction)-citation issued-pedestrian in crosswalk,26,25,1
PEDESTRIAN,2013-11-11,10:37,"CENTRAL & WASHINGTON, MT. LEBANON, PA",40.3800898,40.3802898,-80.0447957,,CENTRAL,WASHINGTON,20131773,"Hit & Run - Pedestrian ""bumped"" in crosswalk; no injury; Pedestrian did not have ""walk"" signal walking right in front of moving vehicle",44,,0
PEDESTRIAN,2010-03-24,11:06,"COCHRAN & ALTOONA, MT. LEBANON, PA",40.3828745,40.3826745,-80.0524309,,COCHRAN,ALTOONA,20100439,Unit 1(Vehicle) cited for 3113 Failure to yield right of way to pedestrian in crosswalk,65,71,1
PEDESTRIAN,2008-12-09,10:22,"COCHRAN & ALTOONA, MT. LEBANON, PA",40.3828745,40.3828745,-80.0524309,,COCHRAN,ALTOONA,20081994,Unit 1 (Vehicle) charged w/ vc3542a (Failure to yield right of way to Ped in crosswalk)-citation issued,54,70,1
PEDESTRIAN,2006-11-22,14:22,"COCHRAN & ALTOONA, MT. LEBANON, PA",40.3828745,40.3830745,-80.0524309,,COCHRAN,ALTOONA,20061846,Unit 1(Vehicle)- (Traffic control signals)-citation issued - Cochran Rd light - pedestrians in crosswalk,42 & 4,89,2
PEDESTRIAN,2011-02-15,06:33,"COCHRAN & BOWER HILL, MT. LEBANON, PA",40.3849405,40.3847405,-80.0534268,,COCHRAN,BOWER HILL,20110211,Unit 1 (vehicle) cited for 3113a1 Pedestrian Control Signals,33,30,1
PEDESTRIAN,2008-10-17,16:18,"COCHRAN & CEDAR, MT. LEBANON, PA",40.3802466,40.3802466,-80.0525695,,COCHRAN,CEDAR,20081694,Unit 1 (vehicle) cited for 3714 Careless Driving & 4525 Tire Equipment & Traction Surfaces - vehicle lost control - struck pole and 2 pedestrians on sidewalk,15 & 17,37,4
PEDESTRIAN,2008-12-16,17:16,"COCHRAN & CEDAR, MT. LEBANON, PA",40.3802466,40.3804466,-80.0525695,,COCHRAN,CEDAR,20082051,Unit 1 (Hit & Run Vehicle) - Yielding to pedestrian,12,,1
PEDESTRIAN,2007-10-04,15:27,"COCHRAN & FLORIDA, MT. LEBANON, PA",40.3745962,40.3743962,-80.0495223,,COCHRAN,FLORIDA,20071617,Unit 1(Pedestrian)-vc3542b (Exercise care by pedestrian)-citation issued-walked into lane between 2 vehicles,15,74,1
PEDESTRIAN,2006-09-06,19:18,"COCHRAN & LEBANON, MT. LEBANON, PA",40.3771321,40.3771321,-80.0509118,,COCHRAN,LEBANON,20061400,Unit 1(Vehicle)-vc3542 (Right of way of pedestrians)-citation issued,51,20,1
PEDESTRIAN,2010-11-08,11:40,"COCHRAN & PARKER, MT. LEBANON, PA",40.3884433,40.3886433,-80.0571108,,COCHRAN,PARKER,20101837,Hit and Run - pedestrian struck in crosswalk,29,,1
PEDESTRIAN,2011-07-29,18:37,"COCHRAN & ROESSLER, MT. LEBANON, PA",40.3930284,40.3928284,-80.0633812,,COCHRAN,ROESSLER,20111111,Unit 1 (vehicle) cited for 3542a Pedestrian Crossing at Intersection - Unit 1 looking opposite way and struck pedestrian - crosswalk unmarked,61,18,1
PEDESTRIAN,2012-01-15,11:20,"COCHRAN & SCRUBGRASS, MT. LEBANON, PA",40.3881721,40.3881721,-80.0559559,,COCHRAN,SCRUBGRASS,20120085,Unit 1 (vehicle) cited for 3542a Failure to Yield to Pedestrian in Crosswalk - Pedestrian crossing at unmarked crosswalk,55,61,1
PEDESTRIAN,2012-01-20,07:25,"COCHRAN & SCRUBGRASS, MT. LEBANON, PA",40.3881721,40.3883721,-80.0559559,,COCHRAN,SCRUBGRASS,20120106,Pedestrian brushed/struck in crosswalk - vehicle was pulling from stop sign and bumped into pedestrian - no exchange of information - no injury,42,,0
PEDESTRIAN,2011-02-23,20:22,"COCHRAN & WASHINGTON, MT. LEBANON, PA",40.3734138,40.3732138,-80.0488509,,COCHRAN,WASHINGTON,20110264,"Pedestrian cited for 3113a2 Disregard steady red ""Don't Walk"" signal",44,20,1
PEDESTRIAN,2007-03-09,14:57,"DELL & MCFARLAND, MT. LEBANON, PA",40.3913122,40.3913122,-80.0443987,,DELL,MCFARLAND,20070432,Unit 1(Vehicle)- (Pedestrian Control Signals)-citation issued - pedestrian in crosswalk,68,58,1
BICYCLE,2013-11-11,12:24,"EDWARD & MCFARLAND, MT. LEBANON, PA",40.3906762,40.3908762,-80.0439321,,EDWARD,MCFARLAND,20131774,Unit 1 (bicycle) no citation for Making Improper Entrance to Roadway - Unit 2 (veh) no charge - riding bicycle on sidewalk and ran into stopped vehicle,20,55,1
PEDESTRIAN,2008-03-05,18:38,"GILKESON & WASHINGTON, MT. LEBANON, PA",40.3552317,40.3550317,-80.0502929,,GILKESON,WASHINGTON,20080366,Unit 1 (Pedestrian) charged with Pedestrian crossing @ other than crosswalks-citation issued,84,36,1
PEDESTRIAN,2012-01-14,18:05,"GREENHURST & ACADEMY, MT. LEBANON, PA",40.3749254,40.3749254,-80.0578705,,GREENHURST,ACADEMY,20120081,Pedestrian wearing dark clothing jogging in street turned to cross street and was struck - no citations issued,21,69,1
PEDESTRIAN,2007-10-19,17:06,"HAZEL & WASHINGTON, MT. LEBANON, PA",40.3765507,40.3767507,-80.0470933,,HAZEL,WASHINGTON,20071679,Unit 1 (Vehicle)-vc3542a (Right of way of pedestrian in crosswalk)-citation issued,31,51,1
PEDESTRIAN,2012-06-13,16:32,"JEFFERSON & WASHINGTON, MT. LEBANON, PA",40.3755122,40.3753122,-80.0477193,,JEFFERSON,WASHINGTON,20120944,"Unit 1 (vehicle) cited for 3113a1 Pedestrian Control Signal, 3112 No Turn on Red, 3316a Prohibited Text Communic, 3714, 3334 -- veh slightly bumped stroller while texting and making turn at red light",3,26,0
PEDESTRIAN,2013-02-18,16:25,"LONGUEVUE & WASHINGTON, MT. LEBANON, PA",40.3664989,40.3664989,-80.048761,,LONGUEVUE,WASHINGTON,20130261,Unit 1 (vehicle) cited for 3112 Red Light - stopped at light and pulled forward to turn right and struck jogger who had walk symbol in crosswalk,16,31,1
PEDESTRIAN,2013-12-13,19:00,"N MEADOWCROFT & DELL, MT. LEBANON, PA",40.3897692,40.3899692,-80.0475411,,N MEADOWCROFT,DELL,20131960,Unit 1 (vehicle) cited for 3542a Right of Way of Pedestrians - at intersection - no crosswalk - Unit 2 (pedestrain) not cited,24,52,1
