Address,Incident Date,Vehicle Involved,Person Injured,Person Killed,Comments
446 SUMMIT DRIVE,9/16/2014,,,,DEAD DEER IN BACKYARD
1721 COCHRAN ROAD,9/16/2014,,,,DEAD DEER MIDDLE OF ENTRANCE TO ALLSTATE
1100 BLK WASHINGTON ROAD,9/16/2014,X,,,DEER STRUCK IN ROADWAY
700blk SCOTT ROAD,9/16/2014,X,,,Deer struck in roadway
SCOTT ROAD,9/16/2014,,,,DEAD BUCK LYING IN ROADWAY
WASHINGTON ROAD,9/16/2014,X,,,HIT DEER FLOPPING AROUND
1100BLK LAKEMONT DRIVE,9/13/2014,X,,,DEER HIT BY A VEH
827 VALLEVISTA AVENUE,9/13/2014,,,,DEER WITH BROKEN LEG WITH BABY
279 GILKESON ROAD,9/13/2014,,,,DEER TEARING UP HIS YARD
1338 WASHINGTON ROAD,9/13/2014,X,,,"DEER HIT AND LAYING IN YARD, STILL ALIVE"
WASHINGTON ROAD,9/13/2014,,,,DYING DEER ON SIDE OF ROAD
1006 OSAGE ROAD,9/6/2014,,,,LARGE DEER TRAPPED IN HER FENCE IN BACKYARD
1000 BOWER HILL ROAD,9/5/2014,,,,LARGE DEER IN ROAD
350 OLD GILKESON ROAD,9/5/2014,X,,,DEER STRUCK IN ROAD
799 CASTLE SHANNON BOULEVARD,8/25/2014,,,,FAWN THAT WILL NEED PUT DOWN
900 CEDAR BOULEVARD,8/22/2014,,,,DEAD DEER IN ROAD
241 MAGNOLIA PLACE,8/21/2014,,,,FAWN STUCK IN THE FENCE
717 KEWANNA AVENUE,8/21/2014,,,,GROUP OF DEER IN BACK YARD/ ONE WITH BROKEN LEG
337 BEADLING ROAD,8/21/2014,X,,,DEER GOT STRUCK BY A VEHICLE AND FLED INTO WOODS
735 VALLEVISTA AVENUE,8/20/2014,,,,"DEER BROKE ITS LEG, WITH GROUP OF FAWNS"
229 SLEEPY HOLLOW ROAD,8/20/2014,X,X,,"Veh swerved to miss deer, hit utility pole and flipped car"
COCHRAN ROAD,8/19/2014,X,,,DEER HIT BY CAR ON SIDE OF ROAD MOVING STILL
210 WOODHAVEN DRIVE,8/14/2014,,,,DEAD DEER IN BACK YARD
975 WASHINGTON ROAD,8/12/2014,,,,DOA DEER REMOVED
975 WASHINGTON ROAD,8/12/2014,X,,,"HIT DEER IN FRONT OF CHURCH, NOT DEAD BUT SUFFERING"
745 GYPSY LANE,8/12/2014,,,,DEER IN NEIGHBORS YARD
940 WASHINGTON ROAD,8/11/2014,,,,DEER IS LAYING IN HER YARD
26 GLEN RIDGE LANE,8/8/2014,,,,INJ DEER IN HIS YARD
74 LONGUEVUE DRIVE,8/8/2014,,,,DEER ATTACKED HIS DOG
1250 BOWER HILL ROAD,8/7/2014,X,,,DEER WAS STRUCK STILL ALIVE IN MIDDLE OF ROADWAY
KEWANNA AVENUE,8/2/2014,,,,INJ DEER ON ROAD
1038 LOCUST LANE,7/30/2014,,,,DEAD DEER IN YARD
745 FLORIDA AVENUE,7/24/2014,,,,DEER JUMPED INTO THE FENCE AREA OF THE YARD
115 MT. LEBANON BOULEVARD,7/23/2014,,,,DEER WITH BROKEN LEG AND BABY ON SIDE OF ROAD
230 INGLEWOOD DRIVE,7/22/2014,,,,"GROUP OF DEER, ATTACKED A DOG AND A NEIGHBOR HAS LIME DISEASE FROM THEM"
WASHINGTON ROAD,7/22/2014,,,,DEAD FAWN
91 WOODLAND DRIVE,7/22/2014,,,,TRAPPED FAWN IN BACKYARD
BOWER HILL ROAD,7/20/2014,,,,FAWN LAYING IN THE GRASS
BEVERLY ROAD,7/18/2014,,,,DEER LAYING IN THE YARD
1430 WASHINGTON ROAD,7/17/2014,,,,DEAD DEER ON THE SIDE OF THE ROAD
1742 THEODAN DRIVE,7/14/2014,,,,SICK DEER IN BACK YARD
109 PINE AVENUE,7/9/2014,,,,DEAD DEER IN THE BACK YARD
1500 WASHINGTON ROAD,7/9/2014,,,,INJURED DEER IN FRONT OF THE GALLERIA
477 MILBETH DRIVE,7/8/2014,,,,INJ DEER UNDER HIS BACK DECK
BOWER HILL ROAD,7/7/2014,X,,,FAWN HIT BY CAR
493 MILBETH DRIVE,7/6/2014,,,,INJ DEER IN BACK YARD
680 FRUITHURST DRIVE,7/6/2014,,,,DOA
BOWER HILL ROAD,7/5/2014,,,,DEER WITH BROKEN LEG
533 HILLCREST PLACE,7/5/2014,,,,MALNOURISHED DEER IN THE AREA
539 OVERLOOK DRIVE,7/5/2014,,,,FAWN IN THE DRIVEWAY
HORSMAN DRIVE,7/4/2014,,,,INJURED DEER IN THE AREA
GILKESON ROAD,7/3/2014,X,,,DEER WAS STRUCK BY A VEH
95 LONGUEVUE DRIVE,6/30/2014,,,,AGGRESSIVE DEER IN THE AREA
WASHINGTON ROAD,6/28/2014,,,,FAWN IN YARD
440 SERPENTINE DRIVE,6/28/2014,,,,INJ DEER IN BACKYARD CRYING
245 CATALPA PLACE,6/28/2014,,,,FAWN IN BACKYARD
641 BEVERLY ROAD,6/28/2014,,,,INJ DEER IN BACKYARD
SCRUBGRASS ROAD,6/27/2014,,,,INJ DEER WANDERING AROUND
254 PARK ENTRANCE DRIVE,6/27/2014,,,,FAWN LAYING AT REAR DOOR
1223 PINEWOOD DRIVE,6/27/2014,,,,DEER WITH BROKEN LEG IN BACKYARD
427 JEFFERSON DRIVE,6/26/2014,,,,DEER HARASS HER DOGS
127 MAIN ENTRANCE DRIVE,6/26/2014,,,,FAWN IN YARD
99 MORRISON DRIVE,6/26/2014,,,,INJ DEER IN BACKYARD. POSSIBLE BROKEN LEG
930 WASHINGTON ROAD,6/25/2014,,,,FAWN IN YARD
1126 FIRWOOD DRIVE,6/25/2014,,,,FAWN STUCK IN BACKYARD
1053 LAKEMONT DRIVE,6/24/2014,,,,FAWN HAS BEEN IN BACK YARD ALL DAY
574 CRYSTAL DRIVE,6/24/2014,,,,FAWN LAYING IN BACK YARD ALIVE BUT NOT MOVING
1317 FIRWOOD DRIVE,6/23/2014,,,,FAWN STUCK IN FENCE AND DEER TRYING TO FREE IT
301 DIXON AVENUE,6/19/2014,,,,FAWN AND DOE IN YARD
315 DIXON AVENUE,6/17/2014,,,,DEER WITH A BROKEN LEG IN BACK YARD
34 ACADEMY AVENUE,6/16/2014,,,,DEER IN BACK YARD
290 CATALPA PLACE,6/15/2014,,,,DEER WITH INJ LEG
486 OLD FARM ROAD,6/15/2014,,,,DEER ATTACKED HER DOG
589 BRIARWOOD AVENUE,6/14/2014,,,,DEER AND FAWN IN YARD. ATTACKED HER DOG
1322 CRAIGVIEW DRIVE,6/11/2014,,,,2 FAWNS IN DRIVEWAY MIGHT BE INJ
256 BAYWOOD AVENUE,6/10/2014,,,,INJ DEER IN AREA NEEDS PUT DOWN
427 JEFFERSON DRIVE,6/10/2014,,,,DEER AND FAWN IN THE AREA
210 ARDEN LANE,6/9/2014,,,,DEER IN BACKYARD
GILKESON ROAD,6/9/2014,,,,DEAD DEER OFF TO THE SIDE OF ROAD
40 CEDAR BOULEVARD,6/8/2014,,,,DEAD FAWN NEAR FRONT WALK
326 OLD FARM ROAD,6/7/2014,,,,FAWN IN GARAGE WONT LEAVE
863 TOWERCREST DRIVE,6/7/2014,,,,FAWN UNDER PICKUP TRUCK
285 ASHLAND AVENUE,6/6/2014,,,,FAWN IN BACK YARD
46 CEDAR BOULEVARD,6/5/2014,,,,INJ DEER IN YARD
245 ATLANTA DRIVE,6/5/2014,,,,DEER IN BACKYARD
48 SENECA DRIVE,6/5/2014,,,,DEER STUCK IN FENCE IN BACKYARD
462 GREENHURST DRIVE,6/3/2014,,,,SICK FAWN IN BACKYARD
371 PARKWAY DRIVE,6/3/2014,,,,DEER LIVING IN BACKYARD
1251 PINEWOOD DRIVE,6/3/2014,,,,INJURED FAWN IN BACK YARD
131 ROCK HAVEN LANE,6/3/2014,,,,FAWN SITTING ON PORCH AND WONT LEAVE
155 COCHRAN ROAD,6/3/2014,,,,DEER STUCK IN FENCE
752 COUNTRY CLUB DRIVE,6/2/2014,,,,FAWN STUCK IN FENCED IN BACKYARD
166 SEMINOLE DRIVE,6/2/2014,,,,DEER ATTACKING HER DOG
93 MARKHAM DRIVE,6/2/2014,,,,DEER BORN IN BACK YARD
195 LONGRIDGE DRIVE,6/2/2014,,,,DEER ATTACKED HER DOG AND THEN WENT AFTER HER
370 CASTLE SHANNON BOULEVARD,6/1/2014,X,,,"Vehicle GOA, injured deer discharged by officer"
232 JONQUIL PLACE,6/1/2014,,,,FAWN STUCK IN WINDOW WELL
700 blk COUNTRY CLUB DRIVE,5/28/2014,X,,,DEER HIT BY CAR
GILKESON ROAD,5/15/2014,X,,,DEER HIT IN MIDDLE OF ROAD.
1024 CONNOR ROAD,4/27/2014,X,,,INJ DEER STRUCK BY CAR. BOTH FRONT LEGS BROKEN
MAIN ENTRANCE DRIVE,4/6/2014,,,,DEER IN MIDDLE OF ROAD
1512 BOWER HILL ROAD,4/3/2014,,,,DOA deer on driveway
792 BOWER HILL ROAD,3/29/2014,,,,DEAD DEER ON SIDEWALK
SCOTT ROAD,3/18/2014,X,,,Driver struck deer in roadway
308 ASHLAND AVENUE,3/17/2014,,,,INJURED DEER IN BACKYARD
BOWER HILL ROAD,3/17/2014,X,,,Non-reportable crash
BOWER HILL ROAD,3/17/2014,X,,,HIT DEER STILL IN ROADWAY
1540 WASHINGTON ROAD,3/13/2014,,,,INJURED DEER ON SIDE OF THE ROAD
COCHRAN ROAD,3/13/2014,,,,INJURED DEER ON COCHRAN
MCFARLAND ROAD,3/13/2014,,,,INJURED DEER LAYING ON SIDE OFF ROADWAY
970 SEGAR ROAD,3/12/2014,X,,,car vs deer
MCNEILLY ROAD,3/11/2014,,,,DEAD DEER IN ROADWAY
912 MCNEILLY ROAD,3/10/2014,X,,,DEER HIT BY CAR/ BROKEN LEG IN YARD
300 bl GILKESON ROAD,3/10/2014,X,,,Deer struck by vehicle in roadway; discharged by officer; no injuries
GILKESON ROAD,3/10/2014,X,,,DEER HIT STILL ALIVE ON THE SIDE OF THE ROAD
CONNOR ROAD,3/6/2014,X,,,Deer vs vehicle; non-reportable
1012 CONNOR ROAD,3/5/2014,X,,,DEAD DEER IN ROAD IN FRONT OF HOUSE WITH VEH PART
427 DUQUESNE DRIVE,3/4/2014,,,,INJURED DEER IN YARD
PAINTERS RUN ROAD,2/24/2014,,,,DEAD DEER ON RD
73 SENECA DRIVE,2/23/2014,,,,Discharged by officer
73 SENECA DRIVE,2/23/2014,,,,INJURED DEER IN FRONT YARD - CALLERS DOG ATTACKED IT
1108 LINDENDALE DRIVE,2/23/2014,,,,DEAD DEER IN FRONT YARD
1535 FORESTVIEW DRIVE,2/20/2014,,,,DEAD DEER BEHIND HOUSE IN THE TREES
230 LYNN HAVEN DRIVE,2/19/2014,,,,DEER WITH BROKEN LEG IN BACK YARD
1145 BOWER HILL ROAD,2/18/2014,,,,INJURED DEER BEHIND THE OFFICE
BOWER HILL ROAD,2/17/2014,,,,INJURED DEER ON THE CORNER AT THIS INTERSECTION
118 HIGHRIDGE CIRCLE,2/17/2014,,,,INJURED DEER IN REAR YARD
845 ELM SPRING ROAD,2/17/2014,,,,DEAD DEER IN FISH POND IN BACK OF HOUSE
11 JONQUIL PLACE,2/14/2014,,,,Injured deer - had to be disposed of
11 JONQUIL PLACE,2/14/2014,,,,INJURED DEER LAYING IN HER NEIGHBORS YARD
CASTLE SHANNON BOULEVARD,2/11/2014,,,,DEER HIT STILL ALIVE
1423 PUEBLO DRIVE,2/10/2014,,,,INJURED DEER IN BACK YARD - POSSIBLE BROKEN LEG
CONNOR ROAD,2/8/2014,X,,,"DEER HIT BY CAR, INJURED ON ROADWAY"
CONNOR ROAD,2/8/2014,X,,,DEER HIT BY VEH STILL ALIVE IN ROADWAY
923 MCNEILLY ROAD,2/4/2014,,,,DEAD DEER DIRECTLY ACROSS THE STREET FROM THE ABOVE STREET
927 MCNEILLY ROAD,2/2/2014,X,,,Deer struck in roadway; vehicle rolled over
927 MCNEILLY ROAD,2/2/2014,,,,
717 PINOAK ROAD,2/1/2014,,,,2 deer living in yard for weeks
1333 BOWER HILL ROAD,2/1/2014,,,,DOA DEER ON SIDEWALK
BRAFFERTON DRIVE,1/31/2014,,,,DEER IN THE MIDDLE OF THE ROAD
1300 BOWER HILL ROAD,1/31/2014,X,,,BABY DEER HIT BY CAR DEAD IN THE ROAD
321 INGLEWOOD DRIVE,1/29/2014,,,,DEER STUCK IN HIS BASKETBALL COURT NETTING
681 FRUITHURST DRIVE,1/29/2014,,,,DEER CAUGHT IN FENCE BEHIND THIS HOUSE
133 STILWELL COURT,1/17/2014,,,,House window broken by deer
748 SCRUBGRASS ROAD,1/11/2014,,,,DEER IN BACK YARD MAY BE DEAD
1338 WASHINGTON ROAD,1/9/2014,X,X,,Deer ran into roadway; vehicle slammed brakes & was rear-ended; deer GOA
213 PARK ENTRANCE DRIVE,1/6/2014,,,,DEER IN BACKYARD
856 RIDGEFIELD AVENUE,12/31/2013,,,,DEER WITH BROKEN LEG IN BACK YARD WANTS IT REMOVED
137 OAK PARK PLACE,12/30/2013,,,,COMP HAS A DEER LAYING ON A WALL IN HER BACK YARD
227 PARK ENTRANCE DRIVE,12/26/2013,,,,INJURED DEER IN THE BACK YARD
208 VEE LYNN DRIVE,12/20/2013,,,,BUCK WITH AN ARROW STUCK IN HIM HAS BEEN SITTING IN REAR YARD
162 MAYFAIR DRIVE,12/20/2013,,,,INJURED DEER IN BACK YARD WITH ARROW STICKING OUT OF IT
745 FLORIDA AVENUE,12/19/2013,,,,HAS A BUCK IN HIS BACKYARD THAT WONT LEAVE
553 SUNSET DRIVE,12/18/2013,,,,INJURED DEER WALKING BEHIND HER HOUSE TOWARDS 555 SUNSET
370 CASTLE SHANNON BOULEVARD,12/17/2013,,,,DEAD DEER IN ROAD CLOSER TO ANAWANDA
1300 bl WASHINGTON ROAD,12/16/2013,X,,,Struck by vehicle; vehicle GOA
565 PAT HAVEN DRIVE,12/16/2013,,,,LARGE DEER IN HER YARD AND SHE IS SCARED OF THEM
36 MAYFAIR DRIVE,12/15/2013,,,,10 POINT BUCK STANDING IN COMP BACK WARD WITH ARROW STUCK IN SIDE
1523 BOWER HILL ROAD,12/14/2013,X,,,Deer struck in roadway. No vehicle damage.
857 EISENHOWER DRIVE,12/14/2013,,,,DEAD DEER IN HIS BACK YARD
167 LANCASTER AVENUE,12/13/2013,,,,WANTS TO REPORT HER NEIGHBORS FEEDING THE DEER
SEGAR ROAD,12/12/2013,,,,DEAD DEER ON THE SIDE OF THE ROAD
SEGAR ROAD,12/11/2013,,,,DEER IS ON THE ROAD BLOCKING TRAFFIC ON SEGAR RD JUST BELOW BOWER HILL
PENNSYLVANIA BOULEVARD,12/5/2013,,,,N/C IN MIDWAY ALLEY / INJ DEER IN ALLEY
300 BIRD PARK DRIVE,12/3/2013,,,,DEAD BUCK UPPER PART OF WALKING TRAIL
1145 BOWER HILL ROAD,12/3/2013,X,,,"Deer struck by vehicle, discharged by officer"
CONNOR ROAD,12/2/2013,,,,DEAD DEER ON THE SIDE OF THE ROAD IN THIS AREA
BOWER HILL ROAD,12/1/2013,X,,,DEER HIT BY CAR LAYING IN THE ROADWAY STILL ALIVE
472 SLEEPY HOLLOW ROAD,12/1/2013,,,,DEAD DEER IN YARD BETWEEN THIS RESD AND THE NEIGHBORS
SCOTT ROAD,11/30/2013,X,,,DEER STRUCK IN AREA
CASTLE SHANNON BOULEVARD,11/30/2013,,,,DEER STILL ALIVE IN ROAD
SCOTT ROAD,11/30/2013,,,,INJURED DEER IN ROADWAY
185 WOODHAVEN DRIVE,11/25/2013,,,,4 DEER IN BACKYARD 1 INJURED
PARKSIDE AVENUE,11/23/2013,,,,INJURED ON SIDE OF ROAD
69 IROQUOIS DRIVE,11/22/2013,,,,SICK DEER ON PROPERTY
BOWER HILL ROAD,11/21/2013,,,,DEAD DEER IN ROAD 3/10 MILE BEFORE INTERSECTION
MT. LEBANON BOULEVARD,11/20/2013,X,,,Deer struck in roadway - left scene - no damage - no injuries
95 CASTLE SHANNON BOULEVARD,11/20/2013,,,,BROKEN LEG IN BACK YARD
1331 BOWER HILL ROAD,11/20/2013,X,,,Deer struck by vehicle - vehicle GOA - deer dispatched by Animal Control officer
1331 BOWER HILL ROAD,11/20/2013,,,,
428 BOWER HILL ROAD,11/19/2013,,,,DEER IN BACK YARD
CONNOR ROAD,11/18/2013,,,,
734 VALLEVISTA AVENUE,11/18/2013,,,,SICK DEER HAS NOT MOVED IN 3 DAYS
4 CORNELL PLACE,11/17/2013,,,,BROKEN LEG IN BACK YARD
WOODHAVEN DRIVE,11/16/2013,,,,SICK DEER IN AREA
1147 WASHINGTON ROAD,11/14/2013,,,,Discharged by officer
442 CASTLE SHANNON BOULEVARD,11/12/2013,X,X,,Deer struck side of vehicle
HOODRIDGE DRIVE,11/11/2013,,,,SICK DEER IN AREA
20 IROQUOIS DRIVE,11/9/2013,,,,deer stuck in fence
MCFARLAND ROAD,11/8/2013,X,,,Discharged by officer. Vehicle GOA.
346 SHADOWLAWN AVENUE,11/8/2013,,,,Vehicle GOA
39 HOODRIDGE DRIVE,11/8/2013,,,,Stuck on fence - removed
GILKESON ROAD,11/5/2013,,,,
275 GILKESON ROAD,11/2/2013,,,,
251 ORCHARD DRIVE,10/31/2013,,,,
LEBANON AVENUE,10/30/2013,,,,
WASHINGTON ROAD,10/27/2013,X,,,Vehicle GOA
1701 MCFARLAND ROAD,10/26/2013,,,,Injured deer - discharged by officer
838 ROCKWOOD AVENUE,10/26/2013,,,,
858 MACARTHUR DRIVE,10/25/2013,X,,,DEER STRUCK IN ROADWAY
1097 LAKEMONT DRIVE,10/25/2013,,,,Removed
1695 MCFARLAND ROAD,10/25/2013,,,,Ran away
1097 LAKEMONT DRIVE,10/24/2013,,,,
76 ROCKLYNN PLACE,10/24/2013,,,,
957 MCFARLAND ROAD,10/24/2013,,,,Removed
1651 MCFARLAND ROAD,10/24/2013,,,,
GILKESON ROAD,10/24/2013,,,,
1371 WASHINGTON ROAD,10/23/2013,,,,Discharged by officer
SCOTT ROAD,10/23/2013,X,,,
1069 LINDENDALE DRIVE,10/23/2013,X,,,
WASHINGTON ROAD,10/21/2013,,,,
110 COCHRAN ROAD,10/21/2013,,,,
547 SANDRAE DRIVE,10/19/2013,,,,
1207 WASHINGTON ROAD,10/19/2013,,,,Deer stuck in fence
1651 MCFARLAND ROAD,10/19/2013,X,,,DEER STRUCK IN ROADWAY
1033 LAKEMONT DRIVE,10/16/2013,X,,,
MACARTHUR DRIVE,10/16/2013,X,,,
WASHINGTON ROAD,10/16/2013,,,,
1000 bl WASHINGTON ROAD,10/15/2013,X,,,DEER VS VEHICLE - NO FURTHER INFOMATION
155 COCHRAN ROAD,10/15/2013,,,,
910 WASHINGTON ROAD,10/15/2013,,,,
WASHINGTON ROAD,10/15/2013,,,,
1250 BOWER HILL ROAD,10/14/2013,X,,,Deer ran away
122 ABINGTON DRIVE,10/14/2013,,,,4 deer in yard that will not move
302 INGLEWOOD DRIVE,10/14/2013,,,,
CONNOR ROAD,10/14/2013,,,,
VERMONT AVENUE,10/12/2013,,,,
550 SLEEPY HOLLOW ROAD,10/11/2013,,,,
845 ROSBURY PLACE,10/11/2013,,,,
291 PARKER DRIVE,10/10/2013,,,,Discharged by officer
CONNOR ROAD,10/9/2013,X,,,
602 KELSO ROAD,10/7/2013,,,,
WASHINGTON ROAD,10/2/2013,X,,,
54 ROYCROFT AVENUE,9/30/2013,,,,
241 VALLEY PARK DRIVE,9/24/2013,,,,
ROCK HAVEN LANE,9/22/2013,,,,
57 ROCKLYNN PLACE,9/20/2013,,,,DISCHARGED BY OFFICER 20131411
1353 BOWER HILL ROAD,9/19/2013,,,,
1653 BOWER HILL ROAD,9/19/2013,,,,
BOWER HILL ROAD,9/19/2013,,,,
CEDAR BOULEVARD,9/18/2013,X,,,Deer discharged by officer; vehicle minor damage.
WASHINGTON ROAD,9/18/2013,,,,
WASHINGTON ROAD,9/18/2013,,,,
WASHINGTON ROAD,9/18/2013,,,,
1308 COCHRAN ROAD,9/17/2013,,,,
10 ST. CLAIR DRIVE,9/17/2013,,,,
18 ST. CLAIR DRIVE,9/17/2013,,,,
CONNOR ROAD,9/16/2013,,,,Connor at Woodridge
KELSO ROAD,9/13/2013,X,,,Deer struck in roadway
513 SLEEPY HOLLOW ROAD,9/10/2013,,,,
498 HAVERHILL ROAD,9/10/2013,,,,
509 SLEEPY HOLLOW ROAD,9/10/2013,,,,
728 VALLEYVIEW ROAD,9/9/2013,,,,
321 CEDAR BOULEVARD,9/6/2013,,,,
21 FOREST GLEN DRIVE,9/4/2013,,,,
MCNEILLY ROAD,9/4/2013,,,,
234 ALLENBERRY CIRCLE,9/2/2013,,,,
32 ACADEMY AVENUE,9/1/2013,,,,
509 WASHINGTON ROAD,8/31/2013,,,,
CEDAR BOULEVARD,8/31/2013,,,,
1314 ARROWOOD DRIVE,8/31/2013,,,,
509 WASHINGTON ROAD,8/30/2013,,,,
SCRUBGRASS ROAD,8/29/2013,X,,,
207 PENNSYLVANIA BOULEVARD,8/27/2013,,,,
217 THORNBERRY CIRCLE,8/26/2013,,,,
528 KELSO ROAD,8/26/2013,,,,
195 MT. LEBANON BOULEVARD,8/25/2013,X,,,
370 CASTLE SHANNON BOULEVARD,8/25/2013,,,,
1288 ARROWOOD DRIVE,8/22/2013,,,,Deer stuck in porch railing.
71 MARKHAM DRIVE,8/15/2013,,,,Deer stuck in fence.
277 ROYCROFT AVENUE,8/14/2013,,,,
206 MT. LEBANON BOULEVARD,8/13/2013,,,,
1143 WASHINGTON ROAD,8/13/2013,,,,
277 ROYCROFT AVENUE,8/11/2013,,,,
80 MT. LEBANON BOULEVARD,8/11/2013,X,,,
109 BRIAR MEADOWS DRIVE,8/8/2013,,,,
1010 LAKEMONT DRIVE,8/6/2013,,,,
940 LOVINGSTON DRIVE,8/3/2013,,,,
319 FIELDBROOK DRIVE,8/3/2013,,,,
236 CONNECTING ROAD,8/1/2013,,,,
900 SCOTT ROAD,8/1/2013,,,,
1000 PINE AVENUE,7/31/2013,,,,
469 THORNYCROFT AVENUE,7/28/2013,,,,
215 LONGUEVUE DRIVE,7/28/2013,,,,
10 ALLENDALE PLACE,7/27/2013,,,,Sick deer.
1000 CEDAR BOULEVARD,7/19/2013,,,,Discharged by officer; no vehicle.
WASHINGTON ROAD,7/18/2013,,,,
106 MARLIN DRIVE EAST,7/17/2013,,,,
677 FRUITHURST DRIVE,7/17/2013,,,,
CONNOR ROAD,7/14/2013,,,,
365 PARKWAY DRIVE,7/12/2013,,,,
815 COUNTRY CLUB DRIVE,7/12/2013,,,,
553 CLEMSON DRIVE,7/10/2013,,,,Stuck in bushes.
15 MT. LEBANON BOULEVARD,7/8/2013,,,,
820 FRUITHURST DRIVE,7/7/2013,,,,Stuck in fence.
827 KEWANNA AVENUE,7/6/2013,,,,Sick deer.
49 THORNWOOD DRIVE,7/5/2013,,,,
SCOTT ROAD,7/4/2013,,,,At Latonia.
1321 WASHINGTON ROAD,6/29/2013,,,,On side of road.
GILKESON ROAD,6/26/2013,X,,,
1322 PINEWOOD DRIVE,6/25/2013,,,,
